idx,word,meaning,link
1,신경제중심지,창동과 상계를 수도권 동북부 320만의 일자리와 문화 중심지인 <신경제중심지>로 만들겠다는 사업이다.<br>경제적 활력을 창출하고 문화와 생활인프라를 확충하며 물리적 환경개선을 하겠다는 전략을 내세우고 있다.,https://opengov.seoul.go.kr/policy/project/20308?fileIdx=0#pdfview
2,도시전환 제작 실험실,"서울시가 운영하는 지속가능한 도시를 위해 소비 중심에서 생산 도시로 전환을 위한 시민이 주도하는 도시전환랩 실험 프로젝트이다.<br>시민의 아이디어와 실행력, 산학(産學)의 기술력과 정보, <br>시의 재정 지원으로 지역 거점의 순환 경제 모델을 만들고 <br>생태?환경적으로 지속가능하고 회복력이 있는 서울을 만든다는 계획이다.",http://www.tvseoul.kr/mobile/article.html?no=29670#078x
3,역세권 청년주택,청년의 주거안정을 위하여 통학 및 출근이 용이한 역세권에 청년 임대주택을 공급하는 사업이다.,https://www.seoulhousing.kr/html/0102003.do
4,청년혁신파크,"시민이 공동의 조성자가 되어 함께 일상의 혁신을 일궈내는 사회혁신플랫폼으로,<br> 서울시가 사회 문제를 해결하고 서울의 새로운 미래를 설계하기 위해 2015년부터 조성한 공간이다.<br> 공원을 겸하는 야외 공간을 비롯해 곳곳에서 연중 다채로운 프로그램이 열려 <br>시민 누구나 사회혁신을 체험하고 직접 참여할 수 있다.",https://korean.visitseoul.net/attractions/innovationpark_/23559
5,청년수당,"서울시에 거주하고 있는 만 19세~34세 미취업 청년들의 구직 활동을 촉진하는 수당입니다.<br>매월 50만원, 최대 6개월 간 지급됩니다.",https://youth.seoul.go.kr/site/main/content/youth_allowance_justice
6,창동민자역사,2010년 공사가 중단된 후 10년이 지난 지금까지 방치되고 있는 수도권 지하철 1·4호선 창동선 역사를 의미한다.,http://www.sobilife.com/news/articleView.html?idxno=27259
7,도봉청소년누리터,"청소년들의 흥미와 적성을 고려한 프로그램 기획, 운영을 통해 청소년들이 올바른 성장을 도모하고 역량을 개발하여<br>지역의 건강한 청소년상을 확립하기 위해 만들어진 청소년이용권장시설입니다.",http://withdobong.org/infomation_with_center
8,주민 복합커뮤니티공간,"행정, 문화, 복지, 체육시설 등 공공편익시설들을 복합화하여 주민 편익 증진 및 커뮤니티의 매개체 역할을 수행하는 공간입니다.",https://www.gov.kr/portal/service/serviceInfo/167000000008
9,마을활력소,주민센터 내 유휴공간을 주민들이 주체적으로 운영하도록 기획단계부터 공간 설계-운영계획까지 다루어 만들어진 공간이다.,https://brunch.co.kr/@blankin/27
10,생활권 공원녹지,공원이 부족한 생활권 주변에 주민참여 방식으로 공원녹지를 확충하고 공원서비스를 증대하는 사업이다.,"https://opengov.seoul.go.kr/budget/17091307
"
11,유보서비스,"유치원과 어린이집을 통틀어서 유보라고 칭하며, 유아교육과 보육에관한 서비스를 말한다.",
12,온종일 돌봄체계,"온종일 돌봄 체계는 학교를 마친 아이들에게 ‘언제, 어디서나 원하는 시간에’ 돌봄을 제공하는 서비스다.<br> 방과 후에 지역주민이 접근하기 편한 학교와 지역사회 내 공공시설에서 아이들을 돌보고 <br>흥미·적성·진로를 고려해 다양한 방과 후 프로그램을 제공한다.<br> 학교와 지역사회가 연계해 수요자(아동)중심의 돌봄 서비스를 제공해 <br>빈틈없는 돌봄 체계를 완성하는 공공성 강화 정책이다.",http://www.korea.kr/special/policyCurationView.do?newsId=148863867
13,어르신 지원주택,노인지원주택은 지역사회 안에서 독립생활을 하고 싶지만 <br>신체적·정신적 장애로 어려움을 겪는 노인들이<br>시설이 아닌 나만의 주거공간에 살면서 복지서비스를 받을 수 있는 새로운 유형의 공공임대주택이다.,http://www.welfarenews.net
14,재능기부형 일자리,"전문경력과 노하우를 가진 만50세 이상 은퇴자들을 비영리기관,사회적기업 등과 매칭하여<br> 지식과 경력을 활용해 사회공헌활동을 할 수 있도록 지원하는 자원봉사형 일자리 사업이다.",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20190307.99099002774
15,노-노케어,"노노케어는 노인이 노인을 돌보는 활동을 뜻한다. <br>건강한 노인은 일자리를 얻고, 도움이 필요한 노인은 보살핌을 받을 수 있다.",http://mn.kbs.co.kr/news/view.do?ncd=4002979
16,수요맞춤형 장애인활동지원체계,빈곤문제 해결에서 문화생활에 이르기까지 분야별로 수요맞춤형 장애인 활동 지원 체계를 구축하겠다는 정책이다. <br>장애인 정책은 시혜적 관점에서 탈피해 보편적 권리라는 관점으로 전환해야 한다는 시각의 정책이다.,https://www.newsjeju.net/news/articleView.html?idxno=342222
17,최중증장애인,"장애정도가 가장 심한 장애인을 뜻한다. <br>일반적으로 병이나 장애를 앓고 있는 정도를 가장 약한 ""경증""-상당히 심한 ""중증""-매우 심한 ""최중증""으로 분류한다.",
18,변형카메라 이력정보시스템,정부가 디지털 성범죄 전 과정에 걸쳐 마련한 22개의 개선과정 중 하나이다. 정부는 특히 몰래 카메라로 악용되기 쉬운 변형카메라의 수입과 판매 등에 체계적 관리가 필요하다고 보고 '변형카메라 수입·판매업 등록제 도입 및 이력정보시스템 구축 방안'을 내세웠다.,https://the300.mt.co.kr/newsView.html?no=2019111619247630143
19,스마트 여성 안심 통합 네트워크,"스마트 여성 안심 통합 네트워크 구축은 <br>스마트시티 통합 플랫폼 기반 여성안심앱 출시, 전국 CCTV 확대, 전자발찌 위치추적시스템 등과 연계한 여성 안전서비스 강화, <br>범죄예상 환경설계 활성화 추진, 여성대상 범죄 예방 위한 범죄 취약개소 범죄예방시설 설치 확대 등을 통해 실현한다는 계획이다.",http://www.1conomynews.co.kr/news/articleView.html?idxno=11267
20,소상공인 보증규모 추가 확대,코로나 사태로 어려움을 겪고 있는 소상공인과 중소기업 경영 안정화를 위해 실시하는 정책금융 지원의 일환이다.<br>지역신용보증재단에선 지역 소상공인 대상으로 6조 9000억원 규모의 보증 공급 확대를 추진한다.,https://biz.chosun.com/site/data/html_dir/2020/06/03/2020060301353.html
