idx,word,meaning,link
1,직업교육특구,"노량진을 비롯한 동작구 전역에 청년 일자리센터, 창업지원센터 등 일자리 인프라를 대폭 확대해 직업교육산업의 집적지이자 전 세대 일자리정책을 선도하는 ‘내일(My Job)이 있는 경제도시’로 변화시킨다는 구상이다.",http://www.munhwa.com/news/view.html?no=2019021801071321076001
2,수요맞춤형 장애인활동지원체계 ,빈곤문제 해결에서 문화생활에 이르기까지 분야별로 수요맞춤형 장애인 활동 지원 체계를 구축하겠다는 정책이다.<br>장애인 정책은 시혜적 관점에서 탈피해 보편적 권리라는 관점으로 전환해야 한다는 시각의 정책이다.,https://www.newsjeju.net/news/articleView.html?idxno=342222
3,연륙교,연륙교(連陸橋)는 육지와 섬을 연결하는 다리를 가리키는 말이다.,https://ko.wikipedia.org/wiki/%EC%97%B0%EB%A5%99%EA%B5%90
4,다중주택 건립규모 완화,"현재 대부분의 공유주택은 다중주택(연면적 330㎡ 이하·3층)이나 고시원(제2종근린생활시설·연면적 500㎡ 이하) 등을 활용해 지어졌다.<br>상황이 이렇다보니 연면적 660㎡의 단독주택을 매입해 공유주택으로 조성해려 해도 이의 절반만 주택 용도로 활용할 수 있었다.<br>이 때문에 공유주택 사업을 확장하기 어렵다는 업계의 목소리가 높았는데, 이러한 문제를 완화하겠다는 것이다.","https://news.mt.co.kr/mtview.php?no=2020060214554127361
"
5,근대하수박스 관광자원화,폐쇄된 하수박스 정비를 통한 근대토목시설 견학장 등 문화관광자원으로의 활용한다.,"http://yesan.seoul.go.kr/wk/wkSelect.do?itemId=101171
"
6,장승배기 종합행정타운,"이 사업은 노후화된 현 노량진 구청사와 공간 부족으로 흩어진 구청의 시설들, 동작구의회 등을 장승배기로 옮겨 분산된 행정 기능을 한데 모으고, 노량진의 현 청사 부지는 공무원 시험을 준비하는 청년들을 위한 편의 공간과 상업 시설로 개발할 예정이다.<br>이로써 장승배기는 행정 중심지가 되어 구민 편의와 인근 지역 발전을 돕고, 노량진 부지는 기존 상업적 기능 강화를 꾀한다. ",https://ko.wikipedia.org/wiki/%EC%9E%A5%EC%8A%B9%EB%B0%B0%EA%B8%B0_%EC%A2%85%ED%95%A9%ED%96%89%EC%A0%95%ED%83%80%EC%9A%B4
7,신상도 지하차도 확장공사,"출퇴근 시간이면 상습 정체로 주민들에게 큰 불편을 초래했던 신상도 지하차도 확장 공사가 차질 없이 마무리되도록 노력하겠다고 김병기 의원은 약속했으며, 신상도 지하차도 확장은 2021년까지 마무리될 예정이다.","https://blog.naver.com/kim-weapon/221885011074
"
8,관리형 주거환경 개선사업,"주민참여형 재생사업의 일환으로 주민이 중심이 되어 자발적 의지와 참여 속에 마을의 물리적, 사회·문화적, 경제적 환경을 종합적으로 개선하여 지속적으로 살아 갈 수 있는 공동체를 형성하는 사업으로 「도시 및 주거환경정비법」에 따른 주거환경관리사업을 말하는 것이다.",https://news.seoul.go.kr/citybuild/archives/11056
9,청소년 창의혁신 체험공간,"대방동 지하벙커는 오랜 전 지어진 군사시설로 정확한 조성시기는 알려지지 않았으나, 1997년부터는 공원 내 자재창고로 쓰이고 있었다.<br>이번 사업은 오랜 기간 방치되어 있던 관내 유휴공간을 활용해 그간 부족했던 청소년 휴식공간을 확충하고, 청소년들의 여가 활동지원 및 창의적 역량을 키워주고자 마련됐다.",http://www.seoulfocus.kr/news/articleView.html?idxno=75928
10,데이케어센터,"동작데이케어센터는 치매뿐만 아니라 노인성 질환이나 기능장애로 인해 장기요양 등급판정을 받으신 어르신들을 대상으로 주·야간 동안 전문적인 사회복지 서비스 및 다양한 재활 서비스, 여가 서비스를 제공함으로써 노후생활의 안정과 심신기능의 유지 및 향상을 도모하고, 부양가족의 경제적, 신체적, 심리적 부담을 경감시켜주는 재가노인복지시설 장기요양기관입니다.",http://www.djsw.or.kr/day/
11,쓰레기 적환장,쓰레기를 최종 장소로 옮기기 전에 임시로 모으는 장소이다.,
