idx,word,meaning,link
1,우이령마을 종합정비계획,개발제한구역과 국립공원 규제로 낙후된 우이령마을을 북한산 경관과 어울리도록 정비하기 위해 마련된 연구로 북한산 등 강북지역의 자연경관 보존과 환경개선을 위한 사업이다.,
2,친수생태공원,"친수공간은 주변에 호수나 하천 등 물이 존재하는 공간을 의미한다.<br>공원 내에 호수나 계곡, 인공 폭포 등이 마련된 공원을 친수생태공원이라 한다.",
3,지역자산화,지역주민 등이 경제적 가치가 있는 건물이나 토지 등 유무형의 자산을 공동으로 소유하거나 운영해 지역사회에 기역하는 사업을 말합니다.,
4,고도제한 완화,"강서구는 1958년 김포공항 개항과 함께 전체 면적의 97%가 고도제한 구역에 해당, 도시성장을 가로막는 커다란 장애물로 작용했다.<br>고도제한이란 항공기 안전운항을 위해 ICAO(국제민간항공기구)에서 공항주변의 고도를 국제기준으로 정한 것이다.<br>강서구는 1955년 ICAO가 제정한 낡은 고도제한 규정을 현실에 맞게 합리적으로 적용, 주민들의 재산권을 보호하고 지역의 성장 동력을 되찾기 위해 부단히 노력하고 있다.",http://www.sisanews.kr/news/articleView.html?idxno=33522
5,소규모 주택정비사업,"『빈집 및 소규모주택 정비에 관한 특례법』에 따라 노후·불량건축물 밀집 지역등에서 시행하는 사업으로 자율주택정비 사업과 가로주택정비 사업으로 나뉜다.<br>자율주택정비 사업은 단독주택, 다세대 주택 및 연립주택을 스스로 개량, 건설하는 사업이다.<br>가로주택정비 사업은 가로구역에서 종전 가로를 유지하며 소규모로 주거환경을 개선하는 사업이다.",https://www.anyang.go.kr/main/contents.do?key=3099
6,강북발전특별법,"주민들을 위한 체육, 복지, 문화시설을 만들기위해 필요한 강북구 자금의 적극 유치를 위해 박용진 의원의 제안한 법이다.<br>강북구는 재정 자립도가 낮은 지역이기 때문에 현 정부 재정운영 사업방식인 매칭시스템에 불리한 조건을 가지고 있다. 이러한 매칭펀드 방식을 극복하기 위해 마련된 지역구 자금 유치 법안이다.",http://m.shinmoongo.net/a.html?uid=135037
7,지중화,"전선을 지하에 묻거나 설치하는 사업으로, 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, 또 화재를 예방하기 위해 보통 수행된다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
8,강북봉제지원센터,"「강북봉제지원센터」는 강북 패션봉제산업 활성화를 위하여 강북구가 운영하는 봉제업 전문 지원센터입니다.<br>현장 중심의 체계적이고 안정적인 지원을 통한 봉제업체 역량 강화를 도모하고, 패션봉제산업 관련 인적, 물적 인프라 조성 및 산업육성 효과를 극대화를 목적으로 하고 있습니다.",http://gbfc.or.kr/introduction/center_about.html
9,도시재생활성화사업,"도시재생 활성화사업이란 전략계획수립권자가 국가도시재생기본방침을 고려하여 도시 전체 또는 일부지역, 필요한 경우 둘 이상의 도시에 대하여 도시재생과 관련한 각종 계획, 사업, 프로그램, 유형ㆍ무형의 지역자산 등을 조사ㆍ발굴하고, 도시재생활성화지역을 지정하는 등 도시재생 추진전략을 수립하기 위한 계획을 말한다.",https://terms.naver.com/entry.nhn?docId=4294454&cid=42154&categoryId=42154
10,열린녹지사업,"주민들이 편히 찾을 수 있는 생활권 지역 위주로 진행되는 녹화사업이다.<br>걷기 좋은 길 조성, 우범화 지역 가로등 설치, 친환경 가로수 보호판 설치 등 쾌적한 녹지공간을 위해 다양한 활동이 이루어진다.",
11,보행데크,"보행데크는 육교를 말한다.<br>보행자의 통행이 빈번한 지점에서 통행흐름을 자연스럽게 연결하거나, 보행자의 안전을 위해 설치된다.",
12,용도지역 상향,"토지의 합리적 이용 및 관리를 위하여 ‘국토의 계획 및 이용에 관한 법률’에 근거하여 해당 토지의 용도에 일정한 행정규제를 가함으로써 해당 지역의 적합한 용도에 사용되도록 지정된 곳을 말한다.<br>한마디로 용도지역은 토지이용을 유도하고 규제하는 행정수단이다.<br>용도지역은 크게 도시지역, 관리지역, 농림지역, 자연환경보전지역 등 4가지로 구분되는데, 이들 중 도시지역은 주거지역, 상업지역, 공업지역, 녹지지역으로 세분화되고, 관리지역은 보전관리지역, 생산관리지역, 계획관리지역으로 세분화된다.<br>물론 세분화된 각 용도지역별로 건폐율, 용적률 등이 다르다.<br>용도지역이 상향되면 아파트 공급이 활발해지고, 부동산 가치가 크게 달라질 수 있다.",https://terms.naver.com/entry.nhn?docId=2063385&cid=42107&categoryId=42107
13,가로주택정비사업,"가로주택정비사업은 노후·불량건축물이 밀집한 가로구역에서 종전의 가로를 유지하면서 소규모로 주거환경을 개선하는 방식으로 추진되는데, 추진절차가 간소해 조합설립 후 준공까지 전체 사업기간이 짧고, 조합원 분담금이 낮아 원주민 재정착에 유리한 사업으로 평가 받고 있다.",http://www.dosinews.com/news/articleView.html?idxno=1939
14,청년특별위원회,"청년문제에 대한 현황조사를 바탕으로 청년관련 조례 제,개정 및 청년 당사자들과의 소통과 협의를 통한 실질적인 정책방안을 도출하고자 구성된 특별의원회이다.",https://www.smc.seoul.kr/board/BoardList.do?menuId=001004003&boardTypeId=2&currentPage=1&boardText5=02J30000&chsu=&committeeName=%EC%B2%AD%EB%85%84%EC%A0%95%EC%B1%85+%ED%8A%B9%EB%B3%84%EC%9C%84%EC%9B%90%ED%9A%8C&note=%EC%84%9C%EC%9A%B8%EC%8B%9C%EC%9D%98%ED%9A%8C%EB%8A%94+%EC%B2%AD%EB%85%84%EB%AC%B8%EC%A0%9C%EC%97%90+%EB%8C%80%ED%95%9C+%ED%98%84%ED%99%A9%EC%A1%B0%EC%82%AC%EB%A5%BC+%EB%B0%94%ED%83%95%EC%9C%BC%EB%A1%9C+%EC%B2%AD%EB%85%84%EA%B4%80%EB%A0%A8+%EC%A1%B0%EB%A1%80+%EC%A0%9C%C2%B7%EA%B0%9C%EC%A0%95+%EB%B0%8F+%EC%B2%AD%EB%85%84+%EB%8B%B9%EC%82%AC%EC%9E%90%EB%93%A4%EA%B3%BC%EC%9D%98+%EC%86%8C%ED%86%B5%EA%B3%BC+%ED%98%91%EC%9D%98%EB%A5%BC+%ED%86%B5%ED%95%9C+%EC%8B%A4%EC%A7%88%EC%A0%81%EC%9D%B8+%EC%A0%95%EC%B1%85%EB%B0%A9%EC%95%88%EC%9D%84+%EB%8F%84%EC%B6%9C%ED%95%A0+%EC%88%98+%EC%9E%88%EB%8F%84%EB%A1%9D+%EC%B2%AD%EB%85%84%EC%A0%95%EC%B1%85+%ED%8A%B9%EB%B3%84%EC%9D%98%EC%9B%90%ED%9A%8C%EC%9D%98+%EA%B5%AC%EC%84%B1%ED%95%A8.
