idx,word,meaning,link
1,국민소환제,지역구 국회의원과 비례대표 국회의원 역시 임기만료 전에 국민소환으로 해임할 수 있는 제도이다.,"https://www.news1.kr/articles/?3996835
"
2,감염병 대응체계,"문재인정부가 추진하고 있는 공공의료 강화 공약이다. 지역 간 의료서비스 격차를 해소하고,<br>국민의 안전을 지키는 전문적이고 신속한 감염병 대응체계를 구축한다.","http://www.korea.kr/news/policyNewsView.do?newsId=148872343&pageIndex=1&cateId=&repCode_P=
"
3,복수차관제,"보건복지부에서 보건의료분야와 복지분야를 2명의 차관이 각각 담당하게 되는 것이다. 
",http://www.docdocdoc.co.kr/news/articleView.html?idxno=2001489
4,다중이용업소,불특정 다수인이 이용하는 영업 중 화재 등 재난 발생 시 생명ㆍ신체ㆍ재산상의 피해가 발생할 우려가 높은 것으로서 <br>대통령령으로 정하는 영업(다중이용업)'을 하는 업소를 말한다.,https://terms.naver.com/entry.nhn?docId=5937068&cid=43667&categoryId=43667
5,옐로우카펫,횡단보도 이용 시 아동이 안전하게 대기할 수 있는 아동 안전 공간이다.,http://childmaeul.org/
6,교통안전계정 별도 신설,"교통안전계정을 신설해 그 재원을 교통안전시설의 건설·개량, 시설장비의 현대화, <br>교통안전체계의 조사나 연구 등에 사용할 수 있도록 하는 것이다.",http://www.anjunj.com/news/articleView.html?idxno=7489
7,스마트 여성 안심 통합 네트워크,"스마트 여성 안심 통합 네트워크 구축은 스마트시티 통합 플랫폼 기반 여성안심앱 출시, 전국 CCTV 확대, <br>전자발찌 위치추적시스템 등과 연계한 여성 안전서비스 강화, 범죄예상 환경설계 활성화 추진, <br>여성대상 범죄 예방 위한 범죄 취약개소 범죄예방시설 설치 확대 등을 통해 실현한다는 계획이다.",http://www.1conomynews.co.kr/news/articleView.html?idxno=11267
8,상권 르네상스 프로젝트,"‘상권 르네상스 프로젝트’는 낙후된 구도심 상권을 활성화하기 위해 중점 추진하는 사업이다. <br>기존 단일시장, 상점가 등에 대한 개별 지원을 벗어나 침체된 전통시장과 주변의 골목상권 등 <br>상권 전체를 대상으로 5년간 80억원 내외를 지원한다.","https://www.foodnews.news/news/article.html?no=45780
"
9,온종일 돌봄 체계,"온종일 돌봄 체계는 학교를 마친 아이들에게 ‘언제, 어디서나 원하는 시간에’ 돌봄을 제공하는 서비스다. <br>방과 후에 지역주민이 접근하기 편한 학교와 지역사회 내 공공시설에서 아이들을 돌보고 흥미·적성·진로를 고려해 다양한 방과 후 프로그램을 제공한다. <br>학교와 지역사회가 연계해 수요자(아동)중심의 돌봄 서비스를 제공해 빈틈없는 돌봄 체계를 완성하는 공공성 강화 정책이다.",http://www.korea.kr/special/policyCurationView.do?newsId=148863867
10,공동육아나눔터,"공동육아나눔터란 18세미만 자녀가 있는 가정이 이용할 수 있는 지역네트워킹 공간이다. <br>부모는 자녀 양육에 관한 다양한 정보를 공유하고 <br>자녀는 공동육아나눔터에서 제공하는 간단한 프로그램과 자녀돌봄품앗이 활동(부모의 재능을 나눔터 이용자녀에게 제공하는 활동), <br>장난감 및 도서 대여 서비스 등을 이용하며 지역사회의 자원을 공유하고 있다.",http://www.kihf.or.kr/lay1/S1T336C351/contents.do
11,저류지 복개,자연적으로 흐르는 하천을 매립 혹은 지상 인프라를 이용해 숨긴 것을 복개천이라고 한다.<br>주로 도시화과정에서 많이 이루어진다. 복개된 하천은 도로나 하수도로 쓰인다.,https://namu.wiki/w/%EB%B3%B5%EA%B0%9C
,,,
,,,
