idx,word,meaning,link
1,1호선 지하화,"지상선로로 운행 중인 수도권 전철 1호선을 땅 밑으로 넣고 그 빈 당을 지역 개발에 활용하는 사업이다.<br>지하화 사업을 통해 교통, 통행, 통상 관련 일상의 불편함을 해소할 수 있으며, 선로를 따라 '경의선 숲길'보다 좋은 도심 녹지 축을 확보할 수 있다.",
2,민자고속도로 안전성 검증단,"민자고속도로는 민간투자고속도로로 국가나 공기업이 운영하는 고속도로와 달리 수익형 민자사업 방식으로 운영하는 고속도로를 말한다.<br>만자도로 안전성 검증단은 민자도로 총사업비, 하청업체 공사비 등 민자도로 관련 사업에 대한 내용을 감사 및 검토한다.",
3,서울 책보고,"서울시가 헌책방들을 모아 오래된 책의 가치를 담아 새로 만든 서울 헌책방입니다.<br>서울책보고는 헌 책의 가치를 느끼는 가치의 공간, 명사·지식인들이 기증한 도서를 함께 읽는 나눔의 공간, 매력 있는 독립출판물을 경험하는 향유의 공간, 책을 기반으로 다양한 문화 프로그램을 맛보는 경험의 공간이다.",http://www.seoulbookbogo.kr/front/index.php?g_page=intro&m_page=intro01
4,스마트 앵커,"스마트앵커 사업은 일자리를 창출하고, 지역 경제를 활성화하기 위해 서울시가 추진하는 사업이다.<br>현대화된 작업환경을 갖춰 기획부터 생산, 유통이 원스톱으로 이루어지는 협업시스템을 지원하는 체제다.<br>지난 2017년부터 봉제·인쇄·주얼리 등 제조업이 밀집한 지역 위주로 진행 중이다.",https://www.sedaily.com/NewsVIew/1VLQAGGTNA
5,"청소년, 청년 무중력지대","무중력지대는 서울시 청년기본조례에 근거해 청년의 활동을 지원하고 청년의 자발적인 움직임을 보장함으로써 청년정책의 목적을 달성할 수 있도록 조성된 공간입니다.<br>청소년, 청년을 구속하는 사회의 중력에서 벗어나 자유롭게 활동할 수 있는 공간을 만들고자 '무중력지대'라 이름 붙였습니다.",http://youthzone.kr/welcome
6,마을활력소,주민센터 내 유휴공간을 주민들이 주체적으로 운영하도록 기획단계부터 공간 설계-운영계획까지 다루어 만들어진 공간이다.,https://brunch.co.kr/@blankin/27
7,다함께돌봄센터,초등돌봄 사각지대 해소 및 육아부담 경감을 위한 보편적 돌봄서비스로 안전하고 접근성이 높은 지역 내 공공시설 등을 활용하여 돌봄이 필요한 모든 아동(초등학생)에게 돌봄서비스를 제공하는 사업으로 지원대상은 소득수준 무관하고 돌봄이 필요한 6~12세아동이다.,https://www.129.go.kr/faq/faq03_view.jsp?n=1261
8,평생학습관,"평생학습이란 인간의 삶의 질 향상이라는 이념추구를 위하여 태교에서부터 시작하여 유아교육, 아동교육, 청년교육, 성인전기교육, 성인후기교육, 노인교육을 수직적으로 통합한 교육과정과 가정교육, 사회교육, 학교교육을 수평적으로 통합한 교육을 총칭하며, 평생학습관은 이러한 교육을 지원하는 곳이다.",http://www.yesan.go.kr/lll/sub04_02.do
9,IoT 특화 과학관,"IoT는 사물인터넷(Internet of Things)을 가르키는 말로, 사람과 사람, 사물과 사물이 인터넷으로 연결되어 정보를 생성하거나 수집하여 공유하고 활용하는 기술을 말한다.<br>IoT 특화 과학관에서는 사물인터넷이 활용된 웨어러블 디바이스, 자율주행 자동차, 전자기기 장치제어 등을 체험할 수 있다.",
10,키즈헬스케어센터,"아이들을 위한 전용 체력관리 시설로, 미세먼지로 야외 체육활동이 어려운 아이들을 위해 마련된 시설이다.<br>아이들의 놀이와 체력, 건강을 위한 다양한 시설이 마련되어있다.",
