idx,word,meaning,link
1,최고고도지구,"도시계획법상 용도지구 중 고도지구의 하나로서, 건축물의 높이의 최고한도를 정해 놓은 지구. <br>건물 등의 일정한 층수나 높이를 정해 놓고 그 이상 높은 건물 등은 규제하는 것으로서, <br>공항근처의 토지이용 등이 일반적인 예이다.",https://terms.naver.com/entry.nhn?docId=1595806&cid=50301&categoryId=50301
2,종상향,"세분화된 용도지역에 대해 1ㆍ2종 일반주거지역을 2ㆍ3종으로 높이는 것을 말한다. <br>종(種)이 상향됨에 따라 건축물의 용적률, 건폐율, 층수 등을 상향시켜 사업성을 개선시킬 수 있다.",https://terms.naver.com/entry.nhn?docId=930186&cid=43667&categoryId=43667
3,전선지중화사업,"주민이 이용하는 공원과 학교, 아파트 단지 등을 지나가는 고압 송전선로를 땅에 묻거나 설치하여 <br>전자파 피해 등 송전설비 파손과 낙하로 인한 안전사고에 대한 주민이나 학생들의 우려를 해소하는 사업이다.",https://go.seoul.co.kr/news/newsView.php?id=20190823016018&wlog_tag3=naver
4,LED조명투광기,"일몰시 자동으로 횡단보도를 환하게 밝혀 운전자의 가시거리를 확보하게 해 주고, <br>먼거리에서도 횡단보도와 보행자를 쉽게 식별할 수 있게 해줌으로써 교통사고를 예방할 수 있는 장치다.",http://www.sjsori.com
5,스마트횡단안전시스템,"횡단보도 부근 교통사고를 방지하기 위해 보행자 감지, 자동차 정지 감지 시스템으로 <br>교통사고 사고건수 및 사고율, 망률을 낮추어 교통사고로 인한 사회적,경제적 손실을 절감해 주는 서비스 입니다.",http://www.k-smartcity.kr/service1/service05.php
6,지역 맞춤형 범죄예방디자인설계 (CEPTED),"CPTED란 Crime Prevention Through Environmental Design의 줄임말로, <br>우리말로는 일반적으로 환경설계를 통한 범죄예방이라고 표현하고 있다.<br>
구체적으로는 적절한 건축설계나 도시계획 등 도시 환경의 범죄에 대한 방어적인 디자인(defensive design)을 통하여 <br>범죄가 발생할 기회를 줄이고 도시민들이 범죄에 대한 두려움을 덜 느끼고 안전감을 유지하도록 하여 <br>궁극적으로 삶의 질을 향상시키는 종합적인 범죄예방 전략을 말한다.","보고서, <환경설계를 통한 범죄예방(CPTED) 방안>, 경찰청"
7,육아종합지원센터,"어린이집 설치, 운영에 대한 전반적인 지원과 보육교직원에 대한 상담 및 교육을 진행하는 곳이다. <br>더불어, 육아콘텐츠와 관련하여 부모교육 및 영유아 발달에 대한 검사 지원 사업을 진행하기도 한다.",
8,친환경무상급식,"‘친환경 학교급식’은 식재료 위해 가능성에 대해 사전 예방의 원칙을 적용해 <br>생산·가공·유통과정이 안전하게 이뤄지는 급식으로 소요되는 경비 전부를 국가나 지자체가 부담한다.<br>
서울시는 무상급식을 고교까지 확대해 일부 학생들이 급식비 신청으로 겪게 되는 ‘낙인감’을 없애고 <br>친환경 식재료를 사용해 학생들의 건강까지 지키겠다는 구상이다.",https://opengov.seoul.go.kr/mediahub/16404173
9,온종일 돌봄체계,"온종일 돌봄 체계는 학교를 마친 아이들에게 ‘언제, 어디서나 원하는 시간에’ 돌봄을 제공하는 서비스다. <br>방과 후에 지역주민이 접근하기 편한 학교와 지역사회 내 공공시설에서 아이들을 돌보고 <br>흥미·적성·진로를 고려해 다양한 방과 후 프로그램을 제공한다. <br>학교와 지역사회가 연계해 수요자(아동)중심의 돌봄 서비스를 제공해 빈틈없는 돌봄 체계를 완성하는 공공성 강화 정책이다.",http://www.korea.kr/special/policyCurationView.do?newsId=148863867
10,구직촉진수당,"취업성공패키지 지원사업 중 하나로, 취업성공패키지는 만 18~69세 저소득층 및 미취업 청,장년 등 취업의 취약계층을 위한 단계별 취업지원 프로그램이다. <br>구직촉진수당은 저소득층의 적극적인 구직활동을 위해 중위소득 60% 이하 참여자에게 구직활동 기간 중 최대 150만원까지 지원해주는 사업이다.",https://retime-yak.tistory.com/50
11,창업 인큐베이터,"창업보육이란 뜻으로, 참신한 아이디어와 뛰어난 기술력을 가진 예비창업자 또는 창업초기 기업에게 <br>사업공간 제공, 경영 기술지도와 정보제공 등으로 이들이 보다 안정적인 창업을 할 수 있도록 하는 것이다.",https://terms.naver.com/entry.nhn?docId=299194&cid=42103&categoryId=42103
12,온누리상품권,2009년부터 발행되기 시작한 이 상품권은 `전통시장 및 상점가 육성을 위한 특별법`에 따라 전통시장(재래시장)을 살리기 위해 만들어졌다. <br>중소기업청과 시장경영진흥원이 발행하며 가맹점으로 등록된 점포에서 현금처럼 쓸 수 있다. <br>주로 재래시장과 지하상가에 있는 점포가 가맹점으로 등록되어 있다.,https://www.mk.co.kr/news/society/view/2013/08/687032/
