idx,word,meaning,link
1,상임위운영의무화,"현행 국회법 58조 2항에는‘상임위원회는 안건을 심사할 때 소위원회에 회부하여 이를 심사 · 보고하도록 한다’고 규정되어 있다. <br>하지만 여당은 국회법 57조에 근거해 소위원회 구성을 의무규정으로 보지 않고 소위심사를 거치지 않은 법안들을 상임위 전체회의에서 강행 통과시켜 물의를 일으켰다.<br>
이에 태영호 의원은‘상임위원회는 소관 법률안의 심사를 분담하는 둘 이상의 소위원회를 둘 수 있다.’는 현행 국회법 57조 2항 규정을‘상임위원회는 소관 법률안의 심사를 위한 소위원회를 두어야 한다. <br>이 경우 소관 법률안의 심사를 분담할 필요가 있을 때에는 둘 이상의 소위원회를 둘 수 있다.’로 개정하여 소위원회 구성을 의무화하는 「국회법 일부 개정 법률안」을 발의했다.",https://www.ikbn.news/news/article.html?no=105766
2,법사위,"법제사법위원회의 줄임말로, 법제·사법에 관한 국회의 의사결정기능을 실질적으로 수행하는 국회 상임위원회이다.<br>탄핵 소추에 관한 사항과 법률안·국회 규칙안의 체계·형식과 자구의 심사에 관한 사항도 관장한다.",https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EA%B5%AD%ED%9A%8C_%EB%B2%95%EC%A0%9C%EC%82%AC%EB%B2%95%EC%9C%84%EC%9B%90%ED%9A%8C
3,감염병 대응체계,"감염병 재난에 대한 예방 및 대비 태세를 사전에 구축하고 재난 발생 시 신속한 대응을 통하여 위기상황 조기 종식 유도를 위해 신속·정확·투명한 정보 공개를 통한 <br>국민 불안 해소하고, 감염병 재난 발생에 대한 대비태세 확립하는 체제를 말한다.",http://www.cdc.go.kr/contents.es?mid=a20301020300
4,미세먼지 폐기능 검사,미세먼지로 인한 국민 불안을 경감하고 국민건강 보호를 위해 미세먼지 관련 질환의 예방과 치료를 위한 건강보험 적용 방안으로 <br>건강보험공단은 미세먼지로 인한 기저질환의 예방과 치료 등 국민건강을 보호하기 위해 건강보험 적용 등 지원 방안과 <br>건강보험 급여 적용에 대한 타당성 검토 및 재정을 마련하겠다는 계획이다.,https://medifonews.com/mobile/article.html?no=152226
5,건강 인센티브제,"강인센티브제란 국민들이 직접 건강생활 목표를 설정하고 그 목표를 달성하면 일종의 '포인트'를 지급해 적립된 포인트로 다양한 혜택을 누릴 수 있도록 하는 제도다.<br>건강 개선 결과에 따른 보상을 제공해 국민 스스로 건강 위험 요인을 감소시키는 노력을 하도록 유도하고, <br>성취감을 통해 건강증진 효과를 높이겠다는 의도인 것이다.",http://www.monews.co.kr
6,ICT 스타트업 허브,"ICT는 정보 통신 기술 산업으로, ICT 연구개발을 위해 정보통신 산업 스타트업들이 한 곳에 모여있어 서로 네트워킹하는 ICT R&D 혁신생태계 조성을 통해 시너지 창출에 효과적이다.",
7,생활공유플랫폼,혼자 사는 사람들이 필요한 생활정보를 서로 모아 공감할 수 있는 플랫폼으로 활력있고 소통이 이루어지는 대안 공동체 공간이다.,
8,시간제 보육서비스,가정양육 시에도 지정된 제공기관에서 시간단위로 보육서비스를 이용하고 이용한 시간만큼 보육료를 지불하는 보육서비스이다.,https://www.childcare.go.kr/cpin/contents/040507000000.jsp
9,터미널 승하차장지하화,"지상 1층에 있는 터미널 승하차장과 주차장을 지하화한다. <br>그 위로는 업무, 숙박, 문화, 집회시설 등이 들어서는 복합공간이 조성된다. <br>터미널 기능 개선, 주변 통합 연계, 우수 수변 경과, 공공기여에 많은 도움이 되는 사업이다.",http://m.kmib.co.kr/view.asp?arcid=0923800313
10,소상공인 보증규모 추가 확대,코로나 사태로 어려움을 겪고 있는 소상공인과 중소기업 경영 안정화를 위해 실시하는 정책금융 지원의 일환이다.<br>지역신용보증재단에선 지역 소상공인 대상으로 6조 9000억원 규모의 보증 공급 확대를 추진한다.,https://biz.chosun.com/site/data/html_dir/2020/06/03/2020060301353.html
11,중심시가지형 도시재생 활성화사업,"도시재생이란 인구의 감소, 산업구조의 변화, 도시의 무분별한 확장, 주거환경의 노후화 등으로 쇠퇴하는 도시를 <br>지역역량의 강화, 새로운 기능의 도입·창출 및 지역자원의 활용을 통하여 경제적·사회적·물리적·환경적으로 활성화시키는 것을 말한다. <br>중심 시가지형의 경우 쇠퇴 낙후 산업지역, 역사문화자원 특화지역으로 재활성화가 필요하고, 지역 중심 시가지로서 잠재력 있는 지역을 말한다.",https://uri.seoul.go.kr/surc/propProgress/businessStatusInfo.do
12,무료 공공와이파이,"공공와이파이는 정부, 지자체, 통신사 등에서 제공하는 무료 인터넷 서비스입니다.",https://www.wififree.kr/index.do
