idx,word,meaning,link
1,그린뉴딜 정책,"그린뉴딜이란 기후변화에 대응하는 동시에 고용도 촉진하는 정책이다.<br>
신재생에너지 비중을 높이면서 고용과 투자를 늘리는 게 핵심이며,<br> 도시·공간·생활 인프라를 환경친화적으로 전환하는 것을 목표로 한다.",http://www.korea.kr/news/visualNewsView.do?newsId=148873008
2,탄소 제로 사회,재생에너지 등 탄소 배출이 없는 에너지원을 통해 2050년까지 온실가스 순배출량을 0으로 만드는 것을 의미한다.,https://www.greenpeace.org/korea/press/12499/climate-suffrage-liberal-party/
3,에너지제로주택,신재생 에너지를 이용하기 때문에 탄소 배출이 없는 친환경 주택이다.,http://m.segye.com/view/20200210501643
4,희망촌도 개발계획,1970년 청계천 도심재개발사업에 따른 집단 이주촌이 된 희망촌은 건축물 붕괴 등 재난발생 위험이 심각한 지역이다.<br> 이러한 희망촌을 재개발하여 주거환경을 개선하겠다는 계획이다.,http://yonhap21.com/detail.php?number=11905&thread=22r03r03
5,행정복합타운,"복지, 건강, 교육 등 다양한 행정 서비스의 거점이 되는 곳이다.",http://news.khan.co.kr/kh_news/khan_art_view.html?art_id=201911141117001
6,동부간선도로 공사,성수대교~의정부까지 상습정체구간이 발생하는 문제를 해결하기 위해 착공된 공사이다.,http://m.mcnews.kr/a.html?uid=69175
7,고압송전탑 지중화,"주민이 이용하는 공원과 학교, 아파트 단지 등을 지나가는 고압 송전선로를 땅에 묻거나 설치하여 <br>전자파 피해 등 송전설비 파손과 낙하로 인한 안전사고에 대한 주민이나 학생들의 우려를 해소하는 사업이다.",https://go.seoul.co.kr/news/newsView.php?id=20190823016018&wlog_tag3=naver
8,지하철 급행화,4호선 주요 환승역 중 일부에 급행역을 설치해 시민들의 이동시간을 단축한다는 계획이다.,https://m.newspim.com/news/view/20200608000663
9,광역급행철도 GTX,수도권 광역 급행 철도(首都圈 廣域急行鐵道) 또는 GTX(Great Train eXpress)는 <br>대한민국 수도권의 교통난 해소와 장거리 통근자들의 교통복지 제고를 위해 <br>수도권 외곽에서 서울 도심 주요 3개 거점역인 서울역·청량리역·삼성역을 방사형으로 교차하여<br> 30분대에 연결하는 광역급행철도이다.,https://ko.wikipedia.org/wiki/%EC%88%98%EB%8F%84%EA%B6%8C_%EA%B4%91%EC%97%AD%EA%B8%89%ED%96%89%EC%B2%A0%EB%8F%84
10,상계IC,"Interchange의 약자인 IC는 국도와 고속도로를 오가는 출입로를 뜻하는 나들목, 고속도로 나들목을 의미한다.",https://m.post.naver.com/viewer/postView.nhn?volumeNo=17036317&memberNo=5113437&vType=VERTICAL
11,희망촌 공영 재개발,1970년 청계천 도심재개발사업에 따른 집단 이주촌이 된 희망촌은 건축물 붕괴 등 재난발생 위험이 심각한 지역이다. <br>이러한 희망촌을 재개발하여 주거환경을 개선하겠다는 계획이다.,http://yonhap21.com/detail.php?number=11905&thread=22r03r03
12,간선도로변 고압송전탑 지중화,"주민이 이용하는 공원과 학교, 아파트 단지 등을 지나가는 고압 송전선로를 땅에 묻거나 설치하여 <br>전자파 피해 등 송전설비 파손과 낙하로 인한 안전사고에 대한 주민이나 학생들의 우려를 해소하는 사업이다.",https://go.seoul.co.kr/news/newsView.php?id=20190823016018&wlog_tag3=naver
