idx,word,meaning,link
1,민간택지 분양가 상한제,분양가상한제는 신규 분양 아파트의 가격 안정화를 위해 주택 분양 시 택지비와 건축비에 건설사의 <br>적정 이윤을 보탠 분양가를 산정한 뒤 그 가격 이하로 분양하게 한 제도다. <br>민간택지 분양가상한제가 적용되는 지역은 서울 18개구(강남·서초·송파·강동·영등포·마포·성동·동작·양천·용산·<br>서대문·중·광진·강서·노원·동대문·성북·은평) 309개동과 경기 3개시(광명·하남·과천) 13개동 등 총 322개동이다,https://www.yna.co.kr/view/AKR20200728169300003
2,초과이익환수제,"재건축 종료시점(준공인가) 집값에서 개시시점(추진위원회 설립 승인) 집값과 정상주택가격 상승분, 개발비용을 뺀 금액이 <br>1인당 3000만 원을 넘을 경우 초과금액 구간별로 10~50% 누진 과세하는 제도이다. <br>토지로부터 발생되는 개발이익을 환수하여 이를 적정하게 배분함으로써 <br>토지에 대한 투기를 방지하고 토지의 효율적인 이용을 목적으로 시행되는 제도이다.",https://terms.naver.com/entry.nhn?docId=74912&cid=43667&categoryId=43667
3,생애 최초 주택,"생애 최초로 주택을 구입하는 자를 말한다. <br>이때, '생애 최초'의 기준은 본인뿐만 아니라 가구원 모두가 한번도 주택을 소유한 적이 없어야 한다.",https://www.asiae.co.kr/article/2020070520301701271
4,주택 청약 배점,"주택청약이란 신규 아파트 구매를 신청하는 것이다. <br>주택 청약은 청약 순위에 따라 접수가 되는데, <br>이때 순위는 다양한 기준으로 산정되는 청약가점제에 따라 정해진다. <br>청약가점제란 가구주의 나이, 무주택 기간, 부양가족 수, 청약통장 가입기간 등에 따라 각각 점수를 매긴 뒤 총점이 높은 사람에게 당첨 기회를 주는 제도다.",http://realty.chosun.com/site/data/html_dir/2017/11/12/2017111201112.html
5,종부세,"종합부동산세의 줄임말이다. <br>종합부동산세는 부동산 보유 정도에 따라 조세의 부담 비율을 달리하여 납세의 형평성을 제고한 국세로, <br>주택에 대한 종합부동산세와 토지에 대한 종합부동산세를 합한 금액이다. <br>부동산 투기수요를 억제하여 부동산 가격을 안정시키기 위한 목적으로 2005년부터 시행되었다.",https://terms.naver.com/entry.nhn?docId=930265&cid=43667&categoryId=43667
6,공시가,"국토교통부 장관이 조사·평가하여 공시한 토지의 단위면적(㎡)당 가격이다. <br>부동산 공시가격은 보유세·건보료 산정 등 60여 개 행정 목적의 기준이 된다. <br>시세 등을 고려해 공시가격을 현실화하면 공정하게 세금을 걷고, <br>필요한 분들이 복지혜택을 받을 수 있다.",https://terms.naver.com/entry.nhn?docId=1167798&cid=40942&categoryId=31819
7,시간제 보육 시설,가정양육 시에도 지정된 제공기관에서 시간단위로 보육서비스를 이용하고 이용한 시간만큼 보육료를 지불하는 보육서비스이다.,https://www.childcare.go.kr/cpin/contents/040507000000.jsp
8,돌봄교실,초등학교 내에 마련된 별도 교실에서 각 시도교육청 또는 학교에서 채용한 돌봄전담사가 방과 후부터 아이들을 돌봐주는 제도를 말한다.,https://terms.naver.com/entry.nhn?docId=2119391&cid=43667&categoryId=43667
9,성인지 교육,"성인지 교육은 여성과 남성에게 미치는 영향을 인식하는 능력을 증진시키는 교육이다. <br>성인지 교육은 양성평등 실현을 위해 정책과정과 구조에 있어서 '성인지적 관점'의 반영과 그 중요성을 인식하도록 하고, <br>정책과정에서 여성과 남성의 특성과 차이, 요구와 관점을 고르게 반영함으로써 의도하지 않은 차별이 초래되지 않도록 한다.",https://eqgender.kigepe.or.kr/elearning/user/facultyremote/FacultyIntroView.do
10,대입전형 6년 예고제,현행 3년 예고제인 대학입학 전형을 6년 전 예고해 수험생의 혼란과 불필요한 사교육비 지출을 막는데 의의가 있다.,
