idx,word,meaning,link
1,도시재생뉴딜사업,"도시재생 뉴딜'은 문재인 정부의 핵심 정책으로 옛 도심 정비와 주거환경 개선이 중심이다.<br>즉 기존 도시재생에 주택개선 사업이 포함된 형태로, 옛 도심 정비뿐만 아니라 뉴타운 해제지역과 노후 거주지의 주택개량과 재건축, 가로주택 정비사업에 생활편의 기반시설을 설치하는 사업을 포괄한다.",http://www.latimes.kr/news/articleView.html?idxno=26238
2,10분생활SOC,"10분 동네 생활SOC 사업’이란, 작은도서관, 어린이집, 마을노인복지시설, 청소년·아동 복지시설, 문화체육시설, 도시공원, 마을주차장 등 시민의 일상생활과 밀접한 생활기반시설을 도보 5~10분 거리(250m~500m) 이내에서 향유할 수 있도록 촘촘하게 공급하는 마을단위 도시재생사업이다.",http://www.cenews.co.kr/news/articleView.html?idxno=8928
3,혁신성장밸리,"혁신성장밸리는 창업, 교육, 금융, 판로, 해외 진출, 디자인, 컨설팅, 연구개발(R&D) 등 민·관·학·연의 지원 기능을 집약해 창업·혁신기업에 원스톱 서비스를 제공하는 공간이다.",https://www.yna.co.kr/view/AKR20180421048900030
4,글로벌 엑셀러레이터,"스타트업이나 소자본기업의 가능성을 높이기 위해 사업 모델 개발, 기술 및 제품 개발, 시설 및 장소 확보 등의 지원을 돕는 전문가이다.",
5,복선화,복선화는 선로를 두 가닥 이상 놓아 양방향으로 열차가 동시에 지나서 다닐 수 있도록 만드는 것을 말한다.,https://ko.wikipedia.org/wiki/%EB%B3%B5%EC%84%A0_(%EC%B2%A0%EB%8F%84)
6,민·관·정 협의체,"‘민간(民間)’, ‘관공(官公)’, ‘정부(政府)’이 함께 의견을 나누고 협동하는 조직체이다.",
7,미래교육센터,"아동 · 청소년이 마을의 품 안에서 4차산업혁명 시대를 선도하는 창의적이고, 협업하는 인재로 자라날 수 있도록 지원하는 교육기관이다.",http://www.ycfec.or.kr/htmlpage.php?no=18
8,공공어린이집,나라에서 운영하는 국공립 어린이집을 말한다.,
9,우리동네키움센터,만 6~12세의 돌봄이 필요한 모든 아이들이 이용할 수 있는 쉼·여가·놀이공간을 마련·제공함으로써 방과 후 초등학생 아이들의 돌봄 공백을 해소할 수 있는 센터이다.,https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCareCenterContactList.do
10,보유세 개편,현재 우리나라의 주택이나 토지 등 부동산을 보유한 사람에게 부과하는 조세를 새로 수정하여 과열된 부동산시장을 조정한다.,
11,비주거용 자산 유동화,"거주하는 주택을 제외한 건축물이나 건축물과 그 토지의 전부 혹은 일부를 현금화, 유동화시키는 것을 말한다.",
12,공유지분주택,한개의 건물에 다수의 소유자가 지분비율로 소유하는 주택을 말한다.,
13,용적률,"전체 대지면적에 대한 건물 연면적의 비율을 말한다.<br>용적률이 높을수록 건축할 수 있는 연면적이 많아져 건축밀도가 높아지므로, 적정 주거환경을 보장하기 위하여 용적률의 상한선을 지정한다.",https://ko.wikipedia.org/wiki/%EC%9A%A9%EC%A0%81%EB%A5%A0
