idx,word,meaning,link
1,스마트메디칼 의료특구,"영등포구 관내 전문화된 “뇌질환, 화상, 관절, 안과분야”의 최신 의료 기술과 노하우를 활용한 “특화된 전문 의료서비스”를 제공하고 <br>관내 풍부한 관광자원, 쇼핑, 숙박 등과 연계하여 지역경제 활성화 및 일자리 창출에 기여하기 위해 만들어진 특구이다.",https://www.ydp.go.kr/smartmedical-kor/contents.do?key=4463&
2,첨단 미래교실,"첨단미래교실은 언제 어디서나 인터넷망에 접속할 수 있는 클라우드 시스템과 <br>스마트기기, 태블릿 컴퓨터, 크롬북 등을 통해 다양한 수업 및 학습활동을 펼칠 수 있는 미래형 학습공간이다.",https://www.eduinnews.co.kr/news/articleView.html?idxno=23816
3,MOU체결,"MOU는 업무협약이라는 뜻이며, 당사 간 거래를 시작하기 전 합의가 된 내용들을 확인하기 위해 사전에 작성하는 문서이다.",https://terms.naver.com/entry.nhn?docId=2355325&cid=51373&categoryId=51373
4,유수지,홍수 때에 하천의 수량을 조절하는 천연 또는 인공의 저수지다.,https://ko.dict.naver.com/#/entry/koko/772d1d5747a4480f99aed71658055831
5,선유고가 철거 조기완료,1970년대에 급속도로 늘어난 고가도로는 30~40년이 지난 현대에 들어서면서 도로망과 교통체계가 변함에 따라 제기능을 발휘하지 못하고 있다. <br>교통 혼잡이 발생하거나 오래된 도로가 도시미관을 헤쳐 지역 발전을 저해한다는 시민들의 불만이 늘어나고 있다.<br>2003년부터 서울시는 적극적으로 고가도로 철거를 실시하고 있다.,https://www.seoulsolution.kr/ko/content/%EB%8F%84%EC%8B%9C%ED%99%98%EA%B2%BD-%EA%B0%9C%EC%84%A0-%EA%B3%A0%EA%B0%80%EB%8F%84%EB%A1%9C-%EC%B2%A0%EA%B1%B0-%EC%82%AC%EC%97%85
6,발달장애인 훈련센터,서울특별시교육청 소속의 고등학교 발달장애학생의 진로지도 및 직업교육훈련을 위한 발달장애 전문기관입니다.,https://www.kead.or.kr/view/service/service02_11_01_01.jsp?sub2=10
7,자치경찰제,"지방자치단체에 경찰권을 부여하고, 경찰의 설치·유지·운영에 관한 책임을 지방자치단체가 담당하는 제도를 말한다. <br>한국은 중앙 정부가 직접 경찰력을 관리하는 국가경찰제도이다.",https://namu.wiki/w/%EC%9E%90%EC%B9%98%EA%B2%BD%EC%B0%B0%EC%A0%9C
8,도림고가철거 추진,1970년대에 급속도로 늘어난 고가도로는 30~40년이 지난 현대에 들어서면서 도로망과 교통체계가 변함에 따라 제기능을 발휘하지 못하고 있다. <br>교통 혼잡이 발생하거나 오래된 도로가 도시미관을 헤쳐 지역 발전을 저해한다는 시민들의 불만이 늘어나고 있다.<br>2003년부터 서울시는 적극적으로 고가도로 철거를 실시하고 있다.,https://www.seoulsolution.kr/ko/content/%EB%8F%84%EC%8B%9C%ED%99%98%EA%B2%BD-%EA%B0%9C%EC%84%A0-%EA%B3%A0%EA%B0%80%EB%8F%84%EB%A1%9C-%EC%B2%A0%EA%B1%B0-%EC%82%AC%EC%97%85
9,지하 유휴공간,"지하에 위치한 사용하지 않는 공간을 뜻한다.<br>* 유휴공간 : 유휴(遊休)와 공간(空間)의 합성어로써 '사용되지 않는, 쓰지 않고 가만히 놀리는 공간'을 뜻한다.",https://m.blog.naver.com/PostView.nhn?blogId=cnt_reporter&logNo=220799883750&proxyReferer=https%3A%2F%2Fwww.google.com%2F
10,재정비촉진지구,도시의 낙후된 지역에 대한 주거환경개선과 기반시설의 확충 및 도시기능의 회복을 광역적으로 계획하고 체계적이고 효율적으로 추진하기 위하여 <br>「도시재정비촉진을 위한 특별법」 제5조의 규정에 의하여 지정하는 지구를 말한다.,https://www.gangdong.go.kr/site/contents/koRenew/html10/html02/index01.html
11,상업복합지구,상업과 관련하여 다양한 목적으로 유연하게 복합적으로 토지를 이용할 수 있는 지구를 말한다.,
12,보행데크,보행자가 안전하게 걸을 수 있는 거리를 형성하는 구조물이다.,
13,전선지중화,"전력이나 전기 통신을 제공하는 오버헤드 케이블을 지하 케이블로 대체하는 작업이다. <br>이는 전선이 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, <br>또 화재를 예방하기 위해 보통 수행된다. <br>지중화를 통한 그 밖의 장점으로는 전선이 없어 주변 미관이 개선된다는 것이다. <br>지중화는 송전의 초기 비용을 증가킬 수 있으나 케이블의 수명 대비 운영비를 줄일 수 있다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
14,맘스스테이션,어린이승하차장을 뜻한다.,
15,기부채납지,"개발 사업자가 공공시설을 설치해 공짜로 국가나 공공기관에 소유권을 이전해주는 것을 기부채납이라고 하며, <br>국가나 공공기관에 기부한 토지를 기부채납지라고 한다.",https://terms.naver.com/entry.nhn?docId=2065989&cid=50305&categoryId=50305
